seq	Transecto	parc	sp	lat	lon	qt	data	p/v	local	h-I	h-f
1	1	a	xc	b	43	1	03/10/2018	p	g	08:30	08:47
2	1	a	vc	b	43	3	03/10/2018	p	g	08:30	08:47
3	1	a	ac	b	42	2	03/10/2018	p	g	08:30	08:47
4	1	a	bc	c	33	6	03/10/2018	p	a	08:30	08:47
5	1	a	mb	d	25	2	03/10/2018	p	g	08:30	08:47
6	1	a	ts	d	25	2	03/10/2018	p	a	08:30	08:47
7	1	a	xc	d	25	1	03/10/2018	p	g	08:30	08:47
8	1	a	ms	d	24	1	03/10/2018	p	g	08:30	08:47
9	1	b	ms	c	20	1	03/10/2018	p	a	08:50	09:05
10	1	b	xc	d	24	1	03/10/2018	p	g	08:50	09:05
11	1	b	xc	e	28	2	03/10/2018	p	g	08:50	09:05
12	1	b	cp	d	42	1	03/10/2018	p	g	08:50	09:05
13	1	c	cac	p	12	2	03/10/2018	p	g	09:11	09:33
14	1	c	vc	p	12	1	03/10/2018	p	g	09:11	09:33
15	1	c	ts	o	16	1	03/10/2018	p	c	09:11	09:33
16	1	c	ts	o	20	1	03/10/2018	p	g	09:11	09:33
17	1	c	pc	n	28	2	03/10/2018	v	v	09:11	09:33
18	1	c	tc	o	30	2	03/10/2018	p	g	09:11	09:33
19	1	c	xc	o	30	2	03/10/2018	p	c	09:11	09:33
20	1	d	ss	o	34	1	05/10/2018	p	g	07:50	08:10
21	1	d	ac	o	35	1	05/10/2018	p	g	07:50	08:10
22	1	d	coca	o	35	1	05/10/2018	p	g	07:50	08:10
23	1	d	vc	o	35	1	05/10/2018	p	g	07:50	08:10
24	1	d	ss	p	29	1	05/10/2018	p	g	07:50	08:10
25	1	d	vc	o	28	1	05/10/2018	p	g	07:50	08:10
26	1	d	vc	p	23	2	05/10/2018	p	g	07:50	08:10
27	1	d	vc	p	22	2	05/10/2018	p	g	07:50	08:10
28	1	d	vc	p	22	5	05/10/2018	p	g	07:50	08:10
29	1	d	ac	p	22	1	05/10/2018	p	g	07:50	08:10
30	1	d	vc	p	20	25	05/10/2018	p	g	07:50	08:10
31	1	d	vc	q	16	5	05/10/2018	p	g	07:50	08:10
32	1	e	coca	s	7	1	05/10/2018	p	g	08:15	08:24
33	1	e	vc	s	7	1	05/10/2018	p	g	08:15	08:24
34	1	e	ss	r	13	1	05/10/2018	p	g	08:15	08:24
35	1	e	vc	r	13	2	05/10/2018	p	g	08:15	08:24
36	1	e	tc	r	14	2	05/10/2018	p	g	08:15	08:24
37	1	e	ac	r	14	1	05/10/2018	p	g	08:15	08:24
38	1	e	vc	r	14	1	05/10/2018	p	g	08:15	08:24
39	1	e	tc	r	16	2	05/10/2018	p	g	08:15	08:24
40	1	e	ss	r	16	1	05/10/2018	p	g	08:15	08:24
41	1	e	xc	r	23	1	05/10/2018	p	g	08:15	08:24
42	1	e	xc	q	32	1	05/10/2018	p	g	08:15	08:24
43	1	e	vc	q	33	1	05/10/2018	p	g	08:15	08:24
44	1	e	ss	q	33	1	05/10/2018	p	g	08:15	08:24
45	1	e	xc	q	36	1	05/10/2018	p	g	08:15	08:24
46	1	e	vc	q	36	1	05/10/2018	p	g	08:15	08:24
47	1	f	al	q	35	1	05/10/2018	p	c	08:30	09:06
48	1	f	hm	q	34	1	05/10/2018	p	c	08:30	09:06
49	1	f	xc	q	31	2	05/10/2018	v	v	08:30	09:06
50	1	f	ts	r	27	1	05/10/2018	p	c	08:30	09:06
